Spanish,English
de,From
que,That
no,No
a,To
la,The
el,The
y,And
es,It Is
en,On
lo,It
un,A
por,By
qué,That
me,I
una,A
los,The
se,I Know
te,Tea
con,With
para,For
está,Is
mi,Me
pero,But
sí,Yes
bien,Well
eso,That
su,Its
las,The
yo,Me
del,Of The
como,What
aquí,Here
tu,Your
al,To The
más,Plus
le,You
esto,This
todo,Everything
ya,Already
estoy,Am
ahora,Now
muy,Very
ha,He Has
esta,Is
así,So
vamos,We Go
algo,Something
hay,There Are
bueno,Well
tengo,I Have
él,He
cuando,When
estás,These
sé,He
tú,Your
nos,Us
nada,Any
cómo,Excuse Me
este,This
o,Or
he,He
ser,Be
tiene,Have
puedo,Can I
ella,She
quiero,Want
hacer,Do
fue,It Was
gracias,Thank You
vez,Time
era,Was
soy,I Am
sólo,Single
todos,Everybody
porque,Because
son,Are
tienes,You Have
creo,I Think
voy,Go
sabes,You Know
estaba,Was
puede,May
eres,Are
ese,That
usted,You
entonces,Then
hola,Hello
solo,Only
verdad,Truth
casa,Home
tan,So
quién,Who
sus,Their
tiempo,Weather
dos,Two
esa,This
nunca,Never
dónde,Where
va,He
oh,Oh
favor,Favor
mucho,Much
mí,My
quieres,Want
siento,I Feel
señor,Mister
mejor,Better
hace,Does
decir,Tell
también,Too
sobre,Upon
dios,God
sin,Without
tenemos,Have
están,Is It So
ti,You
puedes,You Can
ver,Watch
hombre,Man
vida,Life
alguien,Somebody
cosas,Stuff
siempre,Forever
hasta,Until
ahí,There
ir,To Go
años,Years
antes,Before
estar,To Be
ni,Neither
poco,Little
día,Day
uno,One
noche,Evening
hecho,Done
mis,My
estamos,We'Re
otra,Other
acuerdo,Agreement
trabajo,Job
nosotros,Us
parece,It Seems
gente,People
sea,Be
padre,Dad
mira,Sight
mismo,Same
dijo,Said
nadie,Nobody
quiere,Wants
podría,Could
hablar,Talk
vas,You Go
ellos,Them
sr.,Mr
tal,Such
pasa,Pass
fuera,Out Of
después,After
han,They Have
desde,From
dinero,Money
mundo,World
claro,Sure
momento,Moment
les,Them
tener,To Have
estado,State
otro,Other
había,There Was
mañana,Morning
tenía,I Had
madre,Mother
vale,Okay
lugar,Place
haciendo,Doing
donde,Where
seguro,Safe
sabe,Knows
podemos,We Can
tus,Your
espera,Waiting
nuevo,New
sido,Been
cosa,Thing
hijo,Child
allí,There
menos,Less
tipo,Kind
amigo,Friend
gran,Big
nuestro,Our
mujer,Woman
mamá,Mother
luego,Later
papá,Dad
días,Days
